Parameter, Explanation
cold-verification-key-file, verification _cold_ key
vrf-verification-key-file, verification _VRS_ key
pool-pledge, pledge lovelace
pool-cost, operational costs per epoch lovelace
pool-margin, share of total ada rewards that the operator takes, must be from 0 to 1
pool-reward-account-verification-key-file, verification staking key for the rewards
pool-owner-staking-verification-key-file, verification staking keys for the pool owners
pool-relay-ipv4, relay node ip address
pool-relay-port, port
metadata-url, url of your json file
metadata-hash, the hash of pools json metadata file
out-file, output file to write the certificate to